location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.33947752 -71.09038193 1434571704000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947735 -71.09038195 1434571705000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947728 -71.09038195 1434571706000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947721 -71.09038197 1434571707000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947712 -71.090382 1434571708000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947699 -71.09038203 1434571709000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947687 -71.09038211 1434571710000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947669 -71.0903822 1434571711000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947659 -71.0903822 1434571712000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947636 -71.09038229 1434571713000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947624 -71.09038231 1434571714000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947611 -71.09038236 1434571715000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947604 -71.09038233 1434571716000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947604 -71.09038229 1434571717000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947609 -71.09038226 1434571718000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947605 -71.09038227 1434571719000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947596 -71.09038228 1434571720000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947584 -71.09038237 1434571721000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947576 -71.09038235 1434571722000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947568 -71.09038239 1434571723000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947559 -71.0903824 1434571724000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947551 -71.09038245 1434571725000 0.0 3G -78.33333333333333 0.888888888888889 -1 -1 2147483647
samsung ram 42.33947543 -71.09038245 1434571726000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394753 -71.09038247 1434571727000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947522 -71.09038247 1434571728000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947507 -71.09038251 1434571729000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947494 -71.09038254 1434571730000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947474 -71.09038255 1434571731000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947463 -71.09038252 1434571732000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947462 -71.09038251 1434571733000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947458 -71.0903825 1434571734000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947444 -71.09038254 1434571735000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947434 -71.09038254 1434571736000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947429 -71.09038254 1434571737000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947425 -71.0903825 1434571738000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947413 -71.09038249 1434571739000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947403 -71.09038248 1434571740000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947392 -71.09038244 1434571741000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947376 -71.09038241 1434571742000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947367 -71.09038239 1434571743000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947351 -71.09038238 1434571744000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947331 -71.09038237 1434571745000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947317 -71.09038236 1434571746000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947305 -71.09038198 1434571747000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947298 -71.09038181 1434571748000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947292 -71.09038181 1434571749000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947292 -71.09038181 1434571750000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.3394726 -71.09038207 1434571751000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947248 -71.09038206 1434571752000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947241 -71.09038202 1434571753000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.3394723 -71.09038211 1434571754000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947203 -71.09038241 1434571755000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947188 -71.09038253 1434571756000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947177 -71.0903826 1434571757000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947169 -71.09038264 1434571758000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947157 -71.09038272 1434571759000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947136 -71.09038291 1434571760000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947133 -71.09038294 1434571761000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947127 -71.09038293 1434571762000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947114 -71.0903829 1434571763000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394711 -71.09038285 1434571764000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947105 -71.09038283 1434571765000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.33947098 -71.09038286 1434571766000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33947098 -71.09038286 1434571767000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.3394709 -71.09038284 1434571768000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947078 -71.09038289 1434571769000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33947065 -71.09038293 1434571770000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947054 -71.09038295 1434571771000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947045 -71.09038295 1434571772000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33947028 -71.09038298 1434571773000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394701 -71.090383 1434571774000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946998 -71.0903831 1434571775000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946986 -71.09038315 1434571776000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946985 -71.09038315 1434571777000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946979 -71.09038322 1434571778000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946964 -71.09038329 1434571779000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946954 -71.09038335 1434571780000 0.0 3G -81.0 0.0 -1 -1 2147483647
